"No Restriction, Sensitive "							
	sampBind	RpoSBind	totRpoS	totSamp	tuNames	p	padj
ArgR	5	7	1120	209	"carAB,artPIQM,astCADBE,metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp,argCBH"	0.000227	0.002239733
AscG	1	1	1120	209	prpR	0	0
AsnC	2	2	1120	209	"asnA,asnC-mioC-mnmG"	0	0
CsiR	1	1	1120	209	csiD-lhgO-gabDTP	0	0
FhlA	1	1	1120	209	hypABCDE-fhlA	0	0
MtlR	1	1	1120	209	mtlADR	0	0
Nac	3	4	1120	209	"ydcSTUV-patD,gabDTP,asnC-mioC-mnmG"	0.001168	0.010168471
NadR	1	1	1120	209	nadA-pnuC	0	0
NtrC	6	11	1120	209	"yeaGH,potFGHI,patA,ddpXABCDF,astCADBE,yhdWXYZ"	0.00113	0.010168471
PaaX	1	1	1120	209	paaABCDEFGHIJK	0	0
PepA	1	1	1120	209	carAB	0	0
PrpR	2	2	1120	209	"prpR,prpBCDE"	0	0
RbsR	1	1	1120	209	rbsDACBKR	0	0
RtcR	1	1	1120	209	rtcBA	0	0
SlyA	1	1	1120	209	hlyE	0	0
YiaJ	1	1	1120	209	yiaKLMNO-lyxK-sgbHUE	0	0
YqhC	1	1	1120	209	yqhD-dkgA	0	0
"No Restriction, Insensitive "							
	sampBind	RpoSBind	totRpoS	totSamp	tuNames	p	padj
AdiY	2	2	1120	35	"gadAX,gadBC"	0	0
AppY	1	2	1120	35	appCBXA	0.000946	0.010698286
ArcA	5	48	1120	35	"gadAX,appCBXA,rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ,gadE,fadL"	0.002296	0.022653867
DnaA	1	3	1120	35	guaBA	0.002778	0.022841333
EvgA	1	3	1120	35	gadE-mdtEF	0.002778	0.022841333
FliZ	3	7	1120	35	"gadE-mdtEF,hdeAB-yhiD,gadBC"	2.60E-05	0.000481
GadE	5	10	1120	35	"gadE,gadBC,hdeAB-yhiD,hdeD,gadE-mdtEF"	0	0
GadE-RcsB	2	4	1120	35	"yhiM,gadAX"	0.000109	0.0016132
GadW	4	9	1120	35	"gadBC,hdeAB-yhiD,gadE-mdtEF,gadAX"	2.00E-06	4.93E-05
GadX	6	16	1120	35	"gadBC,hdeAB-yhiD,hdeD,gadE,gadE-mdtEF,gadAX"	0	0
H-NS	5	41	1120	35	"gadAX,hdeD,gadE-mdtEF,yhiM,hdeAB-yhiD"	0.001012	0.010698286
MetJ	1	2	1120	35	ahpCF	0.000946	0.010698286
MqsA	1	3	1120	35	mqsRA	0.002778	0.022841333
PhoP	4	13	1120	35	"fadL,hdeAB-yhiD,hdeD,gadE"	2.30E-05	0.000481
PurR	2	7	1120	35	"prs,guaBA"	0.000883	0.010698286
RcsB	4	8	1120	35	"hdeAB-yhiD,hdeD,gadBC,gadAX"	1.00E-06	2.96E-05
TorR	2	4	1120	35	"hdeAB-yhiD,gadAX"	0.000109	0.0016132
YdeO	2	2	1120	35	"gadE-mdtEF,gadE"	0	0
"Moderate Restriction, Sensitive "							
	sampBind	RpoSBind	totRpoS	totSamp	tuNames	p	padj
Ada	1	1	877	166	ada-alkB	0	0
AraC	1	1	877	166	xylAB	0	0
ArgR	4	5	877	166	"carAB,artPIQM,astCADBE,metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp"	0.000225	0.00177
FabR	1	1	877	166	fabB	0	0
FhlA	1	1	877	166	hypABCDE-fhlA	0	0
ModE	1	1	877	166	deoCABD	0	0
Nac	3	4	877	166	"ydcSTUV-patD,gabDTP,asnC-mioC-mnmG"	0.001224	0.009027
NadR	1	1	877	166	nadA-pnuC	0	0
NanR	2	3	877	166	"nanCM,nanCMS"	0.006614	0.045908941
PaaX	1	1	877	166	paaABCDEFGHIJK	0	0
PepA	1	1	877	166	carAB	0	0
PrpR	1	1	877	166	prpBCDE	0	0
RbsR	1	1	877	166	rbsDACBKR	0	0
RcsAB	1	1	877	166	rcsA	0	0
SlyA	1	1	877	166	hlyE	0	0
YiaJ	1	1	877	166	yiaKLMNO-lyxK-sgbHUE	0	0
YqhC	1	1	877	166	yqhD-dkgA	0	0
"Moderate Restriction, Insensitive "							
	sampBind	RpoSBind	totRpoS	totSamp	tuNames	p	padj
AdiY	2	2	877	29	"gadAX,gadBC"	0	0
BasR	1	3	877	29	tomB-hha	0.003085	0.030335833
CRP	7	100	877	29	"cirA,rmf,gadBC,fadL,guaBA,gadE-mdtEF,gadAX"	0.006314	0.049670133
DnaA	1	3	877	29	guaBA	0.003085	0.030335833
EvgA	1	3	877	29	gadE-mdtEF	0.003085	0.030335833
FliZ	3	6	877	29	"gadE-mdtEF,hdeAB-yhiD,gadBC"	1.40E-05	0.000275333
GadE	3	6	877	29	"gadBC,hdeAB-yhiD,gadE-mdtEF"	1.40E-05	0.000275333
GadE-RcsB	1	3	877	29	gadAX	0.003085	0.030335833
GadW	4	5	877	29	"gadBC,hdeAB-yhiD,gadE-mdtEF,gadAX"	0	0
GadX	4	6	877	29	"gadBC,hdeAB-yhiD,gadE-mdtEF,gadAX"	0	0
H-NS	3	21	877	29	"gadAX,gadE-mdtEF,hdeAB-yhiD"	0.003596	0.032640615
MqsA	1	3	877	29	mqsRA	0.003085	0.030335833
PhoP	1	4	877	29	hdeAB-yhiD	0.00603	0.049670133
RcsB	2	4	877	29	"gadBC,gadAX"	0.000126	0.002124
YdeO	1	1	877	29	gadE-mdtEF	0	0
"Strong Restriction, Sensitive "							
	sampBind	RpoSBind	totRpoS	totSamp	tuNames	p	padj
Ada	1	1	373	67	ada-alkB	0	0
AraC	1	1	373	67	xylAB	0	0
ArgR	4	4	373	67	"carAB,artPIQM,astCADBE,metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp"	0	0
FabR	1	1	373	67	fabB	0	0
FhlA	1	1	373	67	hypABCDE-fhlA	0	0
ModE	1	1	373	67	deoCABD	0	0
PaaX	1	1	373	67	paaABCDEFGHIJK	0	0
PepA	1	1	373	67	carAB	0	0
RbsR	1	1	373	67	rbsDACBKR	0	0
RcsAB	1	1	373	67	rcsA	0	0
SlyA	1	1	373	67	hlyE	0	0
YiaJ	1	1	373	67	yiaKLMNO-lyxK-sgbHUE	0	0
YqhC	1	1	373	67	yqhD-dkgA	0	0
"Strong Restriction, Insensitive "							
	sampBind	RpoSBind	totRpoS	totSamp	tuNames	p	padj
AdiY	2	2	373	21	"gadAX,gadBC"	0	0
DnaA	1	2	373	21	guaBA	0.002995	0.029351
EvgA	1	1	373	21	gadE-mdtEF	0	0
FliZ	3	4	373	21	"gadE-mdtEF,hdeAB-yhiD,gadBC"	7.00E-06	0.000114333
GadE	3	6	373	21	"gadBC,hdeAB-yhiD,gadE-mdtEF"	9.90E-05	0.001386
GadE-RcsB	1	2	373	21	gadAX	0.002995	0.029351
GadW	3	3	373	21	"gadBC,hdeAB-yhiD,gadAX"	0	0
GadX	3	4	373	21	"gadBC,hdeAB-yhiD,gadAX"	7.00E-06	0.000114333
RcsB	1	2	373	21	gadAX	0.002995	0.029351
YdeO	1	1	373	21	gadE-mdtEF	0	0
